Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
52,Jordan Fuller,3,0,0,7,8.4,0,0,0,0,0,2022,24,LAR,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,71.4,42,8.4,6,0,86.6,3.9,32,10,0,0,0,0,0,1,7.7,0,0,91,8.4,17,3.8,DB
53,Zyon Gilbert,3,1,0,8,6.5,0,0,0,0,0,2022,23,NYG,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,10,4,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,87.5,73,10.4,9.1,1,144.3,4.6,18,55,3,0,0,0,1,0,0,0,0,73,6.5,28,5.9,CB
54,Tyree Gillespie,3,0,0,0,0,0,0,0,0,0,2022,24,JAX,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,28,6.6,S
55,Tay Gowan,3,0,0,0,0,0,0,0,0,0,2022,24,MIN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,15,3,CB
56,Anthony Harris,3,0,0,0,0,0,0,0,0,0,2022,31,DEN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,43,9,S
57,Jovante Moffatt,3,0,0,0,0,0,0,0,0,0,2022,26,ATL,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,55,12.6,S
58,AJ Parker,3,0,0,11,9.9,0,0,0,0,0,2022,24,DET,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,81.8,150,16.7,13.6,1,149.1,12.8,95,55,0,0,0,0,0,0,0,0,0,113,9.9,12,2.7,DB
59,Will Redmond,3,0,0,0,0,0,0,0,0,0,2022,29,HOU,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10.8,CB
60,John Reid,3,0,0,4,3.3,0,0,0,0,0,2022,26,TEN,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,35,8.8,8.8,0,103.1,4.8,19,16,1,0,1,0,1,0,0,0,0,38,3.3,3,0.7,S
61,Deionte Thompson,3,0,0,0,0.5,0,0,0,0,0,2022,25,ARI,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,6,0.5,49,10.8,S
62,Stantley Thomas-Oliver,3,0,0,0,0,0,0,0,0,0,2022,24,CAR,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9.8,CB
63,Shaun Wade,3,0,0,6,1.6,0,0,0,0,0,2022,24,NWE,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.7,41,10.3,6.8,1,125.7,5,23,18,0,0,0,0,0,0,0,0,0,18,1.6,3,0.7,CB
64,Tracy Walker,3,1,0,4,12.3,0,0,0,0,0,2022,27,DET,3,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,11,9,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,25,13,13,3.3,0,40.6,26,3,10,7,0,0,1,1,0,0,0,0,140,12.3,13,2.9,S
65,Ar'Darius Washington,3,0,0,1,2.3,0,0,0,0,0,2022,23,BAL,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,11,11,0,2,1,0,0,1,0,0,0,0,25,2.3,23,5.3,S
66,Rodarius Williams,3,0,0,16,13,0,1,0,0,0,2022,26,NYG,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,15,0,15,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,16,11,68.8,151,13.7,9.4,0,72.7,8.8,62,89,0,0,0,0,0,2,11.8,0,0,147,13,6,1.3,CB
67,Jalyn Armour-Davis,4,0,0,12,4.6,0,0,0,0,0,2022,23,BAL,4,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,11,91.7,226,20.5,18.8,2,158.3,12.5,135,91,1,0,0,0,0,3,33.3,0,0,50,4.6,57,13.2,CB
68,Dicaprio Bootle,4,0,0,2,1,0,0,0,0,0,2022,25,KAN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,39.6,11.5,0,0,0,0,0,0,0,0,0,0,0,11,1,31,6.7,DB
69,Mitchell Fraboni,4,0,0,0,0,0,0,0,0,0,2022,26,DEN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8.3,LS
70,Allan George,4,0,0,4,3.5,0,0,0,0,0,2022,23,CIN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,75,30,10,7.5,0,95.8,7.5,23,7,0,0,0,0,0,0,0,0,0,36,3.5,20,4.6,CB
71,Javelin Guidry,4,0,0,3,1.6,0,0,0,0,0,2022,24,LVR,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,14,4.7,4.7,2,125.7,4.3,13,1,0,0,0,0,0,1,100,0,0,18,1.6,39,8.6,CB
