,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
58,Matt Overton,3,0,0,0,0,0,0,0,0,0,2024,39,MIA,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,22,5,LS
59,Bobby Price,3,0,0,0,0,0,0,0,0,0,2024,26,WAS,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7.3,CB
60,Kevon Seymour,3,0,0,0,0,0,0,0,0,0,2024,31,WAS,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,CB
61,Tucker Addington,4,0,0,0,0,0,0,0,0,0,2024,27,"MIA,NWE",4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,34,3.9,LS
62,Eli Apple,4,0,0,5,4.3,0,0,0,0,0,2024,29,LAC,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,40,12,6,2.4,0,47.9,11.4,12,0,0,0,0,0,0,0,0,0,0,47,4.3,15,3.2,CB
63,Kyu Blu Kelly,4,0,0,1,1.3,0,0,0,0,0,2024,23,LVR,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,3,0,0,0,0,0,0,0,0,0,0,0,14,1.3,12,2.5,CB
64,Artie Burns,4,0,0,7,4.5,0,0,0,0,0,2024,29,SEA,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,42.9,29,9.7,4.1,0,55.1,6.4,18,11,3,0,0,0,0,0,0,0,0,51,4.5,55,11.7,CB
65,Darren Hall,4,0,0,0,0.6,0,0,0,0,0,2024,24,ARI,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,7,0.6,36,8.2,CB
66,Myles Harden,4,0,0,6,4.9,0,0,0,0,0,2024,23,CLE,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.7,48,12,8,0,91,8,34,14,0,0,0,0,0,0,0,0,0,53,4.9,49,10.5,CB
67,Gabe Jeudy-Lally,4,0,0,0,0,0,0,0,0,0,2024,23,TEN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,,0,0,0,0,22,4.8,CB
